,age,are_you_datascientist,company_size,country_live,employment_status,first_learn_about_main_ide,how_often_use_main_ide,ide_main,is_python_main,job_team,main_purposes,missing_features_main_ide,nps_main_ide,python_years,python3_version_most,several_projects,team_size,use_python_most,years_of_coding,python3_ver
7056,30,True,5000,France,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,6.0,3.7
7057,21,False,501,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,6.0,Python 3_7,"No,  I only work on one project",2,Web development,6.0,3.7
7061,21,False,11,United States,Fully employed by a company / organization,School / University,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",3.0,6.0,Python 3_6,"Yes, I work on many different projects",2,Web development,6.0,3.6
7063,30,False,2,United Kingdom,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,6.0,Python 3_8,"Yes, I work on many different projects",2,Web development,3.0,3.8
7066,30,False,2,Mexico,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",8,Web development,3.0,3.8
7070,21,True,5000,United States,Fully employed by a company / organization,Search engines,Daily,PyCharm Community Edition,"No, I use Python as a secondary language",Work in a team,Both for work and personal,Yes – Please list:,10.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",2,Other,3.0,3.7
7074,30,True,1001,Czech Republic,Fully employed by a company / organization,Search engines,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,"No, it has all the features I need",9.0,6.0,Python 3_7,"Yes, I work on many different projects",2,Machine learning,3.0,3.7
7078,30,True,51,United States,Fully employed by a company / organization,Social network,Daily,Vim,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",2,Software prototyping,6.0,3.6
7081,21,True,5000,India,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_7,"Yes, I work on one main and several side projects",13,Network programming,3.0,3.7
7084,21,False,11,Other country,Fully employed by a company / organization,I don't remember,Daily,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_7,"No,  I only work on one project",3,Web development,3.0,3.7
7085,50,False,11,Canada,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Community Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,7.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Software prototyping,11.0,3.8
7086,30,False,5000,Poland,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,PyCharm Community Edition,Yes,Work in a team,For work,Yes – Please list:,10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Web development,1.0,3.8
7087,21,False,2,Japan,Working student,Search engines,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Web development,11.0,3.8
7089,21,False,51,Brazil,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,3.0,Python 3_6,"Yes, I work on many different projects",2,Web development,3.0,3.6
7095,50,False,51,Germany,Partially employed by a company / organization,School / University,Daily,Vim,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,11.0,Python 3_8,"Yes, I work on many different projects",4,DevOps / System administration / Writing automation scripts,11.0,3.8
7096,21,False,51,United States,Working student,School / University,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_7,"Yes, I work on many different projects",3,Machine learning,3.0,3.7
7098,30,True,2,Colombia,"Self-employed (a person earning income directly from one's own business, trade, or profession)",School / University,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",8.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",2,Web development,3.0,3.7
7105,21,True,11,France,Working student,School / University,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,DevOps / System administration / Writing automation scripts,6.0,3.8
7106,30,True,51,Greece,Fully employed by a company / organization,Search engines,Daily,IntelliJ IDEA,Yes,Work in a team,Both for work and personal,Yes – Please list:,9.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,3.0,3.8
7107,40,False,2,Brazil,Partially employed by a company / organization,Friend / Colleague,Daily,Jupyter Notebook,Yes,Work as an external consultant or trainer,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Unknown,1.0,3.8
7108,21,True,51,Poland,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,6.0,3.8
7110,21,True,11,France,Fully employed by a company / organization,School / University,Daily,JupyterLab,"No, I use Python as a secondary language",Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",3,Data analysis,1.0,3.8
7111,30,False,51,Brazil,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,10.0,3.0,Python 3_6,"No,  I only work on one project",8,Unknown,3.0,3.6
7113,21,True,2,Sweden,Fully employed by a company / organization,Friend / Colleague,Daily,IntelliJ IDEA,Yes,Work in a team,For work,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",2,Machine learning,3.0,3.8
7115,30,True,2,United Kingdom,Fully employed by a company / organization,Other,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,1.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,3.0,3.8
7117,30,False,1,United States,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,For work,"No, it has all the features I need",10.0,11.0,Python 3_7,"Yes, I work on many different projects",1,Web development,11.0,3.7
7119,30,False,51,France,Fully employed by a company / organization,Friend / Colleague,Weekly,PyCharm Professional Edition,Yes,Work on your own project(s) independently,Both for work and personal,Yes – Please list:,8.0,6.0,Python 3_7,"Yes, I work on one main and several side projects",4,Multimedia applications development,6.0,3.7
7122,30,False,2,Sweden,Fully employed by a company / organization,Friend / Colleague,Daily,Emacs,Yes,Work in a team,For work,Yes – Please list:,10.0,11.0,Python 3_9,"Yes, I work on many different projects",2,Web development,6.0,3.9
7123,30,Other,51,United States,Fully employed by a company / organization,I don't remember,Daily,VS Code,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,3.0,Python 3_8,"Yes, I work on many different projects",2,Data analysis,3.0,3.8
7125,50,False,5000,Germany,Fully employed by a company / organization,Technical review / Forum / Blog,Daily,Emacs,Yes,Work in a team,Both for work and personal,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on many different projects",2,DevOps / System administration / Writing automation scripts,3.0,3.6
7127,30,False,2,Mexico,Fully employed by a company / organization,Search engines,Daily,VS Code,Yes,Work in a team,For work,"No, it has all the features I need",9.0,3.0,Python 3_8,"No,  I only work on one project",2,Web development,3.0,3.8
7129,50,True,1,Canada,"Self-employed (a person earning income directly from one's own business, trade, or profession)",Search engines,Daily,Vim,Yes,Work on your own project(s) independently,"For personal, educational  or side projects",Yes – Please list:,5.0,6.0,Python 3_9,"Yes, I work on one main and several side projects",1,Data analysis,11.0,3.9
7130,30,False,51,Spain,Fully employed by a company / organization,Search engines,Weekly,PyCharm Professional Edition,"No, I use Python as a secondary language",Work as an external consultant or trainer,"For personal, educational  or side projects","No, it has all the features I need",9.0,3.0,Python 3_8,"Yes, I work on one main and several side projects",4,Unknown,6.0,3.8
7134,30,True,501,United Kingdom,Fully employed by a company / organization,Friend / Colleague,Daily,VS Code,Yes,Work on your own project(s) independently,Both for work and personal,"No, it has all the features I need",8.0,3.0,Python 3_6,"Yes, I work on one main and several side projects",3,Data analysis,1.0,3.6
7140,30,False,51,Brazil,Fully employed by a company / organization,Friend / Colleague,Daily,PyCharm Community Edition,Yes,Work in a team,For work,"No, it has all the features I need",10.0,6.0,Python 3_6,"Yes, I work on one main and several side projects",8,Desktop development,6.0,3.6
7141,21,False,11,United States,Working student,I don't remember,Daily,Other,Yes,Work in a team,For work,"No, it has all the features I need",10.0,1.0,Python 3_8,"No,  I only work on one project",2,Desktop development,3.0,3.8
7145,40,Other,1001,Japan,Fully employed by a company / organization, Online learning platform / Online course,Daily,Vim,Yes,Work on your own project(s) independently,"For personal, educational  or side projects","No, it has all the features I need",10.0,1.0,Python 3_7,"Yes, I work on one main and several side projects",5,Data analysis,1.0,3.7
7148,40,False,501,Canada,Fully employed by a company / organization, Online learning platform / Online course,Daily,PyCharm Professional Edition,Yes,Work in a team,For work,Yes – Please list:,10.0,6.0,Python 3_7,"No,  I only work on one project",2,Other,6.0,3.7
